item,itemLabel,statements,ensg_wdt,entrez,ensg_panglao,species
Q18258007,Gal3st1,30,ENSMUSG00000049721,53897,ENSMUSG00000049721,Mus musculus
Q18258011,Rcan2,30,ENSMUSG00000039601,53901,ENSMUSG00000039601,Mus musculus
Q18258012,Rcan3,24,ENSMUSG00000059713,53902,ENSMUSG00000059713,Mus musculus
Q18258013,Phgr1,18,ENSMUSG00000046804,53906,ENSMUSG00000046804,Mus musculus
Q14878807,Slc40a1,29,ENSMUSG00000025993,53945,ENSMUSG00000025993,Mus musculus
Q18258016,Gpatch11,29,ENSMUSG00000050668,53951,ENSMUSG00000050668,Mus musculus
Q18258026,Rfx5,44,ENSMUSG00000005774,53970,ENSMUSG00000005774,Mus musculus
Q18258027,Ngef,24,ENSMUSG00000026259,53972,ENSMUSG00000026259,Mus musculus
Q18258028,Cyp3a41a,24,ENSMUSG00000075551,53973,ENSMUSG00000075551,Mus musculus
Q18258029,Ddx20,23,ENSMUSG00000027905,53975,ENSMUSG00000027905,Mus musculus
Q18258030,Lpar2,22,ENSMUSG00000031861,53978,ENSMUSG00000031861,Mus musculus
Q18258039,Nell2,27,ENSMUSG00000022454,54003,ENSMUSG00000022454,Mus musculus
Q18258040,Diaph2,28,ENSMUSG00000034480,54004,ENSMUSG00000034480,Mus musculus
Q18258041,Deaf1,52,ENSMUSG00000058886,54006,ENSMUSG00000058886,Mus musculus
Q18258042,Gipc2,29,ENSMUSG00000039131,54120,ENSMUSG00000039131,Mus musculus
Q18258043,Uevld,32,ENSMUSG00000043262,54122,ENSMUSG00000043262,Mus musculus
Q18258044,Irf7,34,ENSMUSG00000025498,54123,ENSMUSG00000025498,Mus musculus
Q18258045,Cks1b,15,,54124,ENSMUSG00000028044,Mus musculus
Q18258046,Polm,28,ENSMUSG00000020474,54125,ENSMUSG00000020474,Mus musculus
Q18258047,Arhgef7,47,ENSMUSG00000031511,54126,ENSMUSG00000031511,Mus musculus
Q18258048,Rps28,31,ENSMUSG00000067288,54127,ENSMUSG00000067288,Mus musculus
Q18258049,Pmm2,30,ENSMUSG00000022711,54128,ENSMUSG00000022711,Mus musculus
Q18258050,Actr1a,28,ENSMUSG00000025228,54130,ENSMUSG00000025228,Mus musculus
Q18305876,Ccl26,12,,541307,ENSMUSG00000070464,Mus musculus
Q14914340,Irf3,34,ENSMUSG00000003184,54131,ENSMUSG00000003184,Mus musculus
Q18258052,Pdlim1,13,,54132,ENSMUSG00000055044,Mus musculus
Q18258053,Lsr,29,ENSMUSG00000001247,54135,ENSMUSG00000001247,Mus musculus
Q18258054,Acrbp,26,ENSMUSG00000072770,54137,ENSMUSG00000072770,Mus musculus
Q18258055,Atxn10,14,,54138,ENSMUSG00000016541,Mus musculus
Q14890119,Irf6,25,ENSMUSG00000026638,54139,ENSMUSG00000026638,Mus musculus
