cell_type,cell_typeLabel
http://www.wikidata.org/entity/Q101404862,human motor neuron
http://www.wikidata.org/entity/Q101404863,human mammary epithelial cell
http://www.wikidata.org/entity/Q101404866,human parietal cell
http://www.wikidata.org/entity/Q101404867,human peri-islet schwann cell
http://www.wikidata.org/entity/Q101404868,human chromaffin cell
http://www.wikidata.org/entity/Q101404869,human dendritic cell
http://www.wikidata.org/entity/Q101404870,human tuft cell
http://www.wikidata.org/entity/Q101404871,human tuft cell
http://www.wikidata.org/entity/Q101404873,human trophoblast progenitor cell
http://www.wikidata.org/entity/Q101404874,human megakaryocyte
http://www.wikidata.org/entity/Q101404875,human t follicular helper cell
http://www.wikidata.org/entity/Q101404876,human t helper cell
http://www.wikidata.org/entity/Q101404877,human epiblast cell
http://www.wikidata.org/entity/Q101404878,human photoreceptor cell
http://www.wikidata.org/entity/Q101404879,human photoreceptor cell
http://www.wikidata.org/entity/Q101404881,human decidual cell
http://www.wikidata.org/entity/Q101404882,human platelet
http://www.wikidata.org/entity/Q101404883,human urothelial cell
http://www.wikidata.org/entity/Q101404885,human proximal tubule cell
http://www.wikidata.org/entity/Q101404886,human luminal epithelial cell
http://www.wikidata.org/entity/Q101404887,human purkinje fiber cell
http://www.wikidata.org/entity/Q101404888,human microglia
http://www.wikidata.org/entity/Q101404889,human delta cell
http://www.wikidata.org/entity/Q101404890,human pinealocyte
http://www.wikidata.org/entity/Q101404892,human his bundle cell
http://www.wikidata.org/entity/Q101404893,human schwann cell
http://www.wikidata.org/entity/Q101404894,human melanocyte
http://www.wikidata.org/entity/Q101404895,human natural killer t cell
http://www.wikidata.org/entity/Q101404896,human choroid plexus cell
http://www.wikidata.org/entity/Q101404897,human radial glia cell
http://www.wikidata.org/entity/Q101404898,human oligodendrocyte
http://www.wikidata.org/entity/Q101404899,human nk cell
http://www.wikidata.org/entity/Q101404900,human spermatocyte
http://www.wikidata.org/entity/Q101404901,human smooth muscle cell
http://www.wikidata.org/entity/Q101404903,human myocyte
