cell_type;gene
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18030163
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18026547
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q17831972
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q15330184
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q14905515
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q14864369
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q14860836
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18254977
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18048936
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18048739
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18045526
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18037257
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18035097
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18034082
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18033947
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18033572
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18031575
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18031394
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18030774
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18030563
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18028178
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q18027049
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q17913463
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q15312256
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q15311787
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q14916234
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q14903974
http://www.wikidata.org/entity/Q101405098;http://www.wikidata.org/entity/Q14865372
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q5145894
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q5145891
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q5145887
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q20969938
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18060624
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18055264
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18052328
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18050826
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18050338
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18048663
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18048605
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18048437
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18047686
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18043025
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18041195
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18038642
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18037166
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18036982
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18036010
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18034855
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18034402
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18034170
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18032324
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18031649
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18031535
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18031137
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18028187
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18027301
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18026591
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18026418
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18026222
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18026178
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q18021049
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q17913005
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q17910350
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q17907875
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q17907844
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q17828456
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q15311973
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q14913170
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q14907436
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q14906847
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q14905759
