Unnamed: 0,Len,Aen,Den,Dpt,P361,P703,P31
164,human airway smooth muscle cell,human airway smooth muscle cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062548,Q15978631,Q18911
165,human embryonic stem cell,human embryonic stem cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1151519,Q15978631,Q18911
166,human t cytotoxic cell,human t cytotoxic cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q376266,Q15978631,Q18911
167,human t cell naive,human t cells naive,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q6959842,Q15978631,Q18911
168,human glomus cell,human glomus cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q4778753,Q15978631,Q18911
169,human leydig cell,human leydig cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q636846,Q15978631,Q18911
170,human retinal ganglion cell,human retinal ganglion cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q927337,Q15978631,Q18911
171,human enteric glia cell,human enteric glia cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062673,Q15978631,Q18911
172,human kidney progenitor cell,human kidney progenitor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062528,Q15978631,Q18911
173,human mesangial cell,human mesangial cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q3331086,Q15978631,Q18911
174,human reticulocyte,human reticulocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1404923,Q15978631,Q18911
175,human plasma cell,human plasma cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q66568528,Q15978631,Q18911
176,human enterochromaffin cell,human enterochromaffin cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q568290,Q15978631,Q18911
177,human neuroendocrine cell,human neuroendocrine cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q10599959,Q15978631,Q18911
178,human astrocyte progenitor cell,human astrocyte progenitor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101001053,Q15978631,Q18911
179,human multinuclear myocyte,human multinuclear myocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101003165,Q15978631,Q18911
180,human spermatocyte and spermatozoa,human spermatocyte and spermatozoa,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101003191,Q15978631,Q18911
181,human granulocyte,human granulocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q223143,Q15978631,Q18911
182,human theca cell,human theca cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101003314,Q15978631,Q18911
183,human immature neuron ,human immature neurons ,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101003994,Q15978631,Q18911
184,human cortical interneuron,human cortical interneurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101004030,Q15978631,Q18911
185,human t cell naive,human t cell naive,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q6959842,Q15978631,Q18911
186,human peripheral blood mononuclear cell,human peripheral blood mononuclear cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q736033,Q15978631,Q18911
187,human paneth cell,human paneth cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q2004084,Q15978631,Q18911
188,human retinal epithelial cell,human retinal epithelial cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q66572893,Q15978631,Q18911
