Unnamed: 0,Len,Aen,Den,Dpt,P703,P31,P279
108,mouse cholinergic neuron,mouse cholinergic neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q12167532
109,mouse hematopoietic stem cell,mouse hematopoietic stem cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q514525
110,mouse spermatozoa,mouse spermatozoa,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q74560
111,mouse goblet cell,mouse goblet cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q813622
112,mouse pluripotent stem cell,mouse pluripotent stem cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q15952110
113,mouse foveolar cell,mouse foveolar cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q66592466
114,mouse gamma (pp) cell,mouse gamma (pp) cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1968774
115,mouse peritubular myoid cell,mouse peritubular myoid cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q48997538
116,mouse b cell memory,mouse b cells memory,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1195394
117,mouse pulmonary alveolar type i cell,mouse pulmonary alveolar type i cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q3296912
118,mouse endothelial cell (blood brain barrier),mouse endothelial cells (blood brain barrier),cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062538
119,mouse pancreatic progenitor cell,mouse pancreatic progenitor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q25325366
121,mouse alveolar macrophages,mouse alveolar macrophages,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q448687
122,mouse airway epithelial cell,mouse airway epithelial cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062683
123,mouse ciliated cell,mouse ciliated cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062671
124,mouse immature neuron,mouse immature neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101003994
125,mouse kupffer cell,mouse kupffer cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q513486
126,mouse sebocyte,mouse sebocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062695
127,mouse osteoclast precursor cell,mouse osteoclast precursor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062534
128,mouse t memory cell,mouse t memory cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q2304808
129,mouse enterocyte,mouse enterocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1340349
130,mouse tanycyte,mouse tanycytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1419042
131,mouse t cell,mouse t cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q193529
132,mouse cardiac stem and precursor cell,mouse cardiac stem and precursor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q5376332
133,mouse cardiomyocyte,mouse cardiomyocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1047227
134,mouse ependymal cell,mouse ependymal cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q28646122
135,mouse adipocyte,mouse adipocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q357519
136,mouse langerhans cell,mouse langerhans cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1623344
137,mouse macrophages,mouse macrophages,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q184204
138,mouse meningeal cell,mouse meningeal cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062499
139,mouse t regulatory cell,mouse t regulatory cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1550619
140,mouse b cell naive,mouse b cells naive,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q3269473
141,mouse b cell,mouse b cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q188930
142,mouse beta cell,mouse beta cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1767180
143,mouse distal tubule cell,mouse distal tubule cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q66568836
144,mouse basophil,mouse basophils,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q107988
145,mouse airway goblet cell,mouse airway goblet cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062600
146,mouse cajal-retzius cell,mouse cajal-retzius cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q2299284
147,mouse gamma delta t cell,mouse gamma delta t cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q3077796
