item,itemLabel,statements,ensg_wdt,entrez
Q18312607,Arfix,7,,100035133
Q18312608,Gct7,7,,100035134
Q18312609,Eamcd2,7,,100035135
Q18312610,Gstml,7,,100035136
Q18312611,Tcdel1,6,,100035137
Q18312612,Cspt,6,,100035138
Q18312613,mdlk1,7,,100035139
Q18312614,Erars1,7,,100035140
Q18312615,Lith19,7,,100035141
Q18312616,Lith20,7,,100035142
Q18312617,Ossc1,7,,100035143
Q18312618,Scpro4,7,,100035144
Q18312619,Scpro5,6,,100035145
Q18312620,Scpro8,6,,100035146
Q18312621,Scpro10,7,,100035147
Q18312622,Bntq2,6,,100035148
Q18312623,Bntq3,6,,100035149
Q18312624,Bntq6,6,,100035150
Q18312625,Bntq8,6,,100035151
Q18312626,Bntq9,6,,100035152
Q18312627,Bntq12,6,,100035153
Q18312628,Bntq13,6,,100035154
Q18312629,Bntq17,6,,100035155
Q18312630,Sphsr2,7,,100035156
Q18312631,Idd16.2,6,,100035157
Q18312632,Nsila2,7,,100035159
Q18312633,Nsila5,7,,100035160
Q18312634,Nsila7,7,,100035161
Q18312635,Crhtaq1,6,,100035162
Q18312636,Crhtaq2,7,,100035163
Q18312637,Avptaq2,7,,100035164
Q18312638,Crhr1taq2,7,,100035165
Q18312639,Pbmd1,7,,100035166
Q18312640,Pbmd3,7,,100035167
Q18312641,Igan3,7,,100035168
Q18312642,Igan4,7,,100035169
Q18312643,Agnm1,7,,100035170
Q18312644,Agnm3,6,,100035171
Q18312645,Gnf1,6,,100035172
Q18312646,Emo4,6,,100035173
Q18312647,Reb1,6,,100035174
Q18312648,Mord2,6,,100035175
Q18312649,Cia40,7,,100035176
Q18312650,Bomd7,7,,100035177
Q18312651,Ptnu2,7,,100035178
Q18312652,Ptnu4,7,,100035179
Q18312653,Ptnu5,7,,100035180
Q18312654,Salpa4,6,,100035181
Q18312655,Ath25,6,,100035182
Q18312656,Ath26,6,,100035183
Q18312657,Ath28,6,,100035184
Q18312658,Bw21,6,,100035185
Q18312659,Bw22,6,,100035186
Q18312660,Htas5,6,,100035187
Q18312661,Htas9,6,,100035188
Q18312662,Cplaq11,6,,100035189
Q18312663,Artmd1,7,,100035190
Q18312664,Ses8,7,,100035191
Q18312665,Ses10,7,,100035192
Q18312666,Zit1,7,,100035193
Q18312667,Pbwg15,6,,100035194
Q18312668,Pbwg18,6,,100035195
Q18312669,Pbwg20,6,,100035196
Q18312670,Gsi1,7,,100035197
Q18312671,Gsi2,7,,100035198
Q18312672,Vacq1,7,,100035199
Q18312673,Vacq3,7,,100035200
Q18312674,Vacq6,7,,100035201
Q18312675,Exq4,7,,100035202
Q18312676,Marq1,7,,100035203
Q18312677,Marq2,7,,100035204
Q18312678,Marq5,7,,100035205
Q18312679,Mpdk2,6,,100035206
Q18312680,Mpdk6,6,,100035207
Q18312681,Lmrq1,6,,100035208
Q18312682,Lmrq3,6,,100035209
Q18312683,Lmrq4,6,,100035210
Q18312684,Imraq1,6,,100035211
Q18312685,Imraq2,6,,100035212
Q18312686,Imrfq2,6,,100035213
Q18312687,Tmc1m1,6,,100035214
Q18312688,Tmc1m3,6,,100035215
Q18312689,Mfiq5,6,,100035216
